"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","a.C18.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w3","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.1w","C17.1w9","C18.0","C18.1w7","C18.1w9","C18.2w3","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w3","C20.2w6","C20.3w3","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w6","C22.3w3","C22.4w3","C22.4w6","C22.5w3","C22.6w3","i.C15.0","i.C16.0","i.C17.0"
"B_001","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.0170952980443563,0.000545404326771804,0.0242192382132413,0.0100951803462348,0.312551388382555,0.0204203880125981,0,0.00272398643874825,0,0,0.0170136175714864,0,0.000291297792097903,0.110122975988571,0.0102361482969352,0.00814918860803591,0,0.0146266996671065,0.00571099614091804,0.00104116635128741,0.0187763644635309,0.00116946742105879,0.0313299854007115,0.00361549743644048,0,0.00457955634215822,0.000819394761860278,0.00091587349711471,0.00452700025259568,0.0203023796266912,0.115376858256051,0.000709345332021679,0.0320629782750851,7.56910211846501e-05,0.00337958858267517,0,0.00989948445524824,0.0267618144126577,0.119321802514693,0.00143234229716381,0.00971841145981756,0.0403831900102961
"B_002","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.0184891267676668,0.000709134265037161,0.0153704273409933,0.0102304486503179,0.307215373942975,0.0125657039649504,0,0.00194996144606916,0,0,0.0207049580469605,0,0.000201658084335155,0.138993845606578,0.00668461369854227,0.00913814766238496,0,0.00613695550242678,0.00267092357602733,0.000381974586312827,0.0057960979406121,0.00128970478093286,0.0276575453491678,0.00517020285933726,0,0.00507109189636275,0.000463717755539678,0.000703757962800336,0.00251220578390542,0.0248786048486345,0.0732732491820482,0.000470683573220433,0.0403213785175539,7.71616247119909e-05,0.00463528416200033,0,0.021998589866049,0.0376804687331443,0.141370849076841,0.00141593100736266,0.0100751670165821,0.0436950549216155
"B_004","3","Pointed Macoma","Macoma inquinata","CLMPOI","PC",0.0142636552352121,0,0.0266204292251837,0.0244304435971573,0.265042229050857,0.0285191932036831,0,0.000776993007357038,5.58797348112484e-07,1.17641546971049e-07,0.0242419818389097,0.00434638459439239,0.00434788452411627,0.169021022044467,0.00262393588441577,0.0222081359541007,0.000215195799796792,0.00450223023374228,0.00293165676090529,0.00123420687966002,0.00439017666025236,0.00184247249827383,0.0142032168904557,0.0522577868631037,0,0.00125870573181674,0.000283398486653258,0.00114565220517756,0.00221445506979629,0.0458046774455538,0.117526317075791,0.000493329827223095,0.000595825025021622,0.000523593115181398,0.00468275118756936,0.0060845090405029,0.00767793438383902,0.02543636705492,0.0715407069309958,0.00121747236960339,0.00980054081583766,0.03569385704958
"B_005","1","Fucus","Fucus sp.","FUCUS","PP",0,0,0.193617410022314,0.00928554764572686,0.31717111384992,0.0109207272514948,0,0.00421424726876215,0,0,0.00406054853802781,0,0.00108393009788346,0.0271338835179445,0.000564975874951821,0.111565237668823,0,0.107338683701669,0.0505668562827246,0.00663803104949521,0.020523383589198,0.0119882832566837,8.62252753595459e-07,0.000468142277835918,0,0.00121513187041034,0.000742295105360406,0.0112830388908566,0.0046801250444169,0.0646088339867496,0.0369996401706034,0.00283213449136259,8.02243445794725e-05,0,1.1322510905799e-07,0,4.19890962129667e-05,6.11067203962196e-05,0.000171109268657943,0.000142393639076082,0,0
"B_006","1","Fucus","Fucus sp.","FUCUS","PP",6.67711613084089e-09,0,0.182702323045489,0.00930235120288748,0.319058783026811,0.01023575862105,0,0.00398782748375115,0,0,0.00460040614894289,0,0.001255344572411,0.0328328556580096,0.000293285648931055,0.124741683242886,0,0.103963412608619,0.0460274848128159,0.00684813710630012,0.0164940659968161,0.0147062280900867,0,0.000722797821163527,0,0.00147058808800479,0.000667684904619566,0.0113798424073728,0.00255243447487203,0.0722748877902288,0.0302488851636516,0.00328712423986458,0.000114272165463211,2.33699064579431e-07,0,0,4.5951913212447e-05,2.56735115230832e-05,8.35641083774738e-05,7.60657069625395e-05,0,4.00626967850454e-08
"B_008","1","Ulva","Ulva sp.","ULVA","PP",7.6502630193868e-05,0,0.0201704374632635,0.00116871384460202,0.42665692346651,0.00757578015134045,0,0.0111342865021349,0.0466463405750746,0,0.000523515726464076,0,0.000934686322329669,0.0137347799333386,0.0570436456693518,0.0132130356376104,0,0.114893259212698,0.147589135745764,0.0128966614192584,0.0693070123228006,0.00135905159386384,0.00417835810952382,0.00154688947358244,0,0.000615183128191721,0.00051121504387718,0.00203845322508998,0.00222600966254211,0.00767973168022755,0.0119692760404291,0.00664094483016383,0.000443255014241641,9.5160596917194e-05,6.62548206093616e-05,0,0.00260435084579692,0.0137260055567961,0.000358276005199199,0.000376586307946314,0,2.81442266456558e-07
"B_009","1","Ulva","Ulva sp.","ULVA","PP",7.19678114588535e-05,0,0.025112671323665,0.00249862401684365,0.429942890436702,0.0215247204332516,0,0.0169773087200418,0.0441031438233963,0,0.000539038607835936,0,0.00112361583084258,0.0112070291942422,0.0505268334789939,0.0126133414282872,0,0.122160140110139,0.125616859991288,0.0148760676187837,0.0576653113978804,0.0019986142221415,0.0036036554128389,0.00165878455636164,0,0.000564522832860653,0.000349084384343872,0.00232354934086454,0.00229979006338417,0.00919104550030634,0.0163307233827019,0.00758759426125852,0.000339829665779864,8.92022873584414e-05,3.10640553420771e-05,0,0.0025988659684859,0.0134948946202546,0.00046078598749812,0.000518309238216066,0,1.19996350910969e-07
"B_015","1","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.0121945071888657,0.0014099228625269,0.00652048760803463,0.0147103183340219,0.291091609249705,0.0233185359088983,0,0.000931614853231118,0,0,0.0195702591524878,0,0.00424703469851534,0.0919868387334626,0.0219453290435007,0.0344573612370013,0,0.0135900416256137,0.00438208180969088,0.000516187325956173,0.00137575800472006,0.00320051653019908,0.00322170119113307,0.00235719150664084,0,0.00640209433435632,0.00155403162057595,0.000498635487417413,0.00117127908574351,0.0326478075018844,0.239973695916765,0.00221322561239385,7.05338999883178e-05,4.53286434820758e-05,0.00165707724009013,0,0.00350793902311691,0.0210833296801018,0.114236161538632,0.000529759387151842,0.00382593343738716,0.019555870726709
"B_018","1","Idotea","Idotea_rascata","IDORES","PC",0.00243543879971589,4.39669863528025e-05,0.0215721083715999,0.0063465514189697,0.310063959007618,0.0223831386850983,0,0.00199683211772184,0,0,0.00885364422415225,0,0.000366664731528611,0.159009186575092,0.0424587525987867,0.0280832092825671,0,0.018443984652886,0.00977254316411817,0.00300120642309606,0.00491121204887685,0.00545711146734091,0.00815161216750133,0.012275095298166,0,0.013515030762161,0.0153938497296119,0.00216979846352992,0.00477133722831365,0.0378582553532132,0.189154458592413,0.0118859044078864,0.00107881916236756,0.000138390796338695,0.0015537069142084,0,0.00022038867214629,0.00441401963443788,0.043399446760199,0.00301961275340295,0.00192446932456587,0.00387629342401622
"B_019","1","Idotea","Idotea_rascata","IDORES","PC",0.00222608216175863,3.77455981612003e-05,0.0355991752784727,0.00683260525776856,0.294830774095622,0.0386299302567993,0,0.00529581686329422,0,0,0.00400995170496122,0,0.000685987243571227,0.121289064569306,0.0268795229664268,0.0390711416040901,0,0.0191087963892761,0.0164684906336312,0.00510743815316214,0.0144150695516785,0.00463537367967539,0.00164466955195789,0.00528522201618543,0,0.00534755697379033,0.00406944584641826,0.00287804946769043,0.00625952881338527,0.0400576499394988,0.213210819644151,0.0122806852095119,0.00155204031723534,0.00652090718436582,0.00220770999831065,0,0.000402464477864396,0.00594764445695645,0.0479348372660591,0.00403065240623531,0.00187081714562943,0.00337633327709914
