"average","sd","ratio","ava","avb","cumsum","p","FA","average_scaled","taxa","sp_group"
0.0660171058676966,0.0474818442736781,1.39036524123166,2.11841141709139,1.79602040167401,0.355975985396882,0.3397,"C18.3w3",0.355975985396882,"Eelgrass","PP"
0.027685341191813,0.0163148934662689,1.69693668236648,0.41212165955585,0.19723537522288,0.505260272889813,0.0355,"C22.0",0.149284287492931,"Eelgrass","PP"
0.0240134319084579,0.0192990620213085,1.24427974177938,0.9388815012354,0.852403077796004,0.634744971954106,0.9363,"C16.0",0.129484699064293,"Eelgrass","PP"
0.018716423897128,0.0135496938358183,1.38131710752397,0.459737922647703,0.357170500712325,0.735667260992923,0.4444,"C18.2w6",0.100922289038817,"Eelgrass","PP"
0.0171797534830475,0.0104297287861426,1.64719081726011,0.39827706649863,0.283137561335634,0.828303549643011,0.0492,"C16.3w3",0.0926362886500878,"Eelgrass","PP"
0.00721399439906977,0.00346267971216991,2.08335595513368,0.0914812520086862,0.058066793919078,0.867202691480627,0.0925,"C16.1w7",0.0388991418376161,"Eelgrass","PP"
0.00481912713920041,0.00353723656385219,1.36239888178477,0.136081580158741,0.11437473833577,0.893188282784307,0.4386,"C18.0",0.0259855913036797,"Eelgrass","PP"
0.00362715725316041,0.00345591602320359,1.04955017101315,0.00975270315513735,0.0409659470390794,0.912746560300605,0.1889,"C20.5w3",0.0195582775162978,"Eelgrass","PP"
0.00298794234914449,0.00329696191112436,0.906271418866806,0.0177839741889448,0.0411170574510378,0.928858077278907,0.3857,"C14.0",0.0161115169783024,"Eelgrass","PP"
0.00282187858495441,0.00165522076585803,1.70483517556138,0.0652388357632509,0.0475551690362493,0.94407414888257,0.0813,"C18.1w9",0.0152160716036635,"Eelgrass","PP"
0.00219244275605925,0.00173429871961447,1.26416673855737,0.0871734496309596,0.0886959959924487,0.955896190461893,0.9766,"C20.0",0.0118220415793225,"Eelgrass","PP"
0.00181891823423425,0.00123845918669556,1.46869453089323,0.025000120395945,0.0123888861262553,0.965704121334923,0.1015,"C16.2w6",0.00980793087303035,"Eelgrass","PP"
0.00124071394610545,0.000804768685798643,1.54170256373008,0.0239685804725143,0.0135446787021129,0.972394271770262,0.0154,"C18.1w7",0.00669015043533826,"Eelgrass","PP"
0.000942818725030151,0.00082287138484224,1.14576681410657,0.000342819734047148,0.00885768494883528,0.977478118150408,0.0427,"C18.4w3",0.00508384638014653,"Eelgrass","PP"
0.000800352330295673,0.000742542220409593,1.07785430686243,0.00687981150315362,0.0116698276598859,0.981793760372178,0.6096,"C20.1w9",0.00431564222177002,"Eelgrass","PP"
0.000524437646034368,0.000578828194339797,0.906033346617701,0.00416872110895434,0.00590922857475975,0.984621621505631,0.9808,"C15.0",0.00282786113345291,"Eelgrass","PP"
0.000500122691278574,0.000572530154665612,0.873530742796721,0.00284093705978941,0.00610790543895647,0.987318372075158,0.9058,"C20.4w6",0.00269675056952694,"Eelgrass","PP"
0.000393335853030309,0.000362352113829782,1.08550726770448,0.0063273795131398,0.00724054488640425,0.98943930900558,0.9877,"C17.0",0.00212093693042216,"Eelgrass","PP"
0.000282269214707822,0.000292549596676956,0.964859353470631,0.000884924914130522,0.00222612184806547,0.990961354853125,0.9379,"C20.1w7",0.00152204584754431,"Eelgrass","PP"
0.000269007644679291,0.000181503028525986,1.48211105271325,0.00731940736600096,0.00643011795301978,0.992411891954613,0.5402,"C20.3w3",0.00145053710148876,"Eelgrass","PP"
0.000222460038567345,0.000554732029675417,0.401022523789567,3.73931623931624e-06,0.00214143028365961,0.993611436078816,0.9631,"C16.4w3",0.00119954412420234,"Eelgrass","PP"
0.000214213616659038,0.000175616998120429,1.21977723655282,0.00514853680565705,0.00583630164342641,0.994766514028286,0.9458,"C20.2w6",0.00115507794947043,"Eelgrass","PP"
0.000203042954886537,0.000506039676547565,0.401239199803046,5.92888511496372e-06,0.00189232912416303,0.995861357781184,0.9532,"C22.1w9",0.00109484375289764,"Eelgrass","PP"
0.000189152802687959,0.00021811491032469,0.867216287077223,0.00328504360109857,0.00360177086429101,0.996881303361082,0.9267,"C22.6w3",0.00101994557989819,"Eelgrass","PP"
0.000143494318740656,0.000179888357841049,0.797685411456416,0.000355868348401615,0.00132515954219191,0.997655050268663,0.9014,"C18.3w6",0.00077374690758072,"Eelgrass","PP"
0.000126303708168993,0.00031566245267587,0.400122685160419,0,0.00120808451998163,0.998336102344239,0.959,"C16.2w3",0.000681052075576334,"Eelgrass","PP"
0.000100240121858268,0.00010884127769051,0.920975240140982,0.000306186996613459,0.000975968525783936,0.998876614923302,0.887,"C20.4w3",0.000540512579062648,"Eelgrass","PP"
5.12085136397948e-05,4.85373655747582e-05,1.05503281921888,0.000193781267321364,0.00048087096790621,0.999152740343585,0.8396,"C20.3w6",0.000276125420283766,"Eelgrass","PP"
4.36377045006052e-05,7.05636997444603e-05,0.618415767011012,3.24256008448533e-06,0.000374779345349237,0.999388042613442,0.6955,"C22.2w6",0.00023530226985703,"Eelgrass","PP"
2.56114868036736e-05,2.25704381157876e-05,1.13473591749904,0.000142696810053503,0.000202665838485406,0.999526144308944,0.9495,"i.C15.0",0.000138101695501288,"Eelgrass","PP"
2.45678294542741e-05,6.13923914764504e-05,0.40017710441689,0,0.000236858626790708,0.999658618418254,0.9666,"C18.2w3",0.00013247410931001,"Eelgrass","PP"
2.17886054032888e-05,5.42536431159601e-05,0.401606309768331,5.19210799584631e-07,0.000207854846118512,0.999776106456799,0.9595,"i.C16.0",0.000117488038545701,"Eelgrass","PP"
1.98589976080221e-05,3.31463597443138e-05,0.5991305760636,0.000137685717709082,5.3433029645143e-05,0.999883189706657,0.0767,"C22.4w3",0.000107083249857657,"Eelgrass","PP"
1.09262662491293e-05,2.62374939986057e-05,0.416437112847361,5.32311295645694e-07,0.000104353358432575,0.999942106079067,0.9532,"i.C17.0",5.89163724101649e-05,"Eelgrass","PP"
5.28093333532431e-06,1.29161546622638e-05,0.408862658694636,1.08896874659697e-06,4.85327820967959e-05,0.999970581811578,0.9592,"C22.3w3",2.8475732511279e-05,"Eelgrass","PP"
2.82883739765532e-06,3.70545825310208e-06,0.763424441575373,1.3934563181266e-05,1.74290675688998e-05,0.999985835406339,0.8127,"C17.1w9",1.52535947603641e-05,"Eelgrass","PP"
1.72399166295914e-06,3.17976577610522e-06,0.542175677188021,4.2891342577697e-06,1.35658550560668e-05,0.999995131476243,0.9818,"C22.5w3",9.29606990448493e-06,"Eelgrass","PP"
7.87418971046035e-07,1.79379671702597e-06,0.438967784683839,6.41025641025641e-06,0,0.99999937737949,0.1087,"C17.1w",4.24590324665335e-06,"Eelgrass","PP"
6.10546347931386e-08,1.3896817104549e-07,0.439342579914596,5.32311295645694e-07,0,0.999999706596948,0.9976,"C22.4w6",3.2921745807959e-07,"Eelgrass","PP"
5.44127164110379e-08,1.23665551949441e-07,0.4399989775106,5.50782110597048e-07,0,1,1,"a.C17.0",2.93403051950785e-07,"Eelgrass","PP"
0,0,NA,0,0,1,1,"a.C18.0",0,"Eelgrass","PP"
0,0,NA,0,0,1,1,"C20.2w3",0,"Eelgrass","PP"
0.0417296250346159,0.0290416176317436,1.43689051910813,1.3291593244545,1.34144583027852,0.231532789474658,0.6954,"C20.5w3",0.231532789474658,"Eelgrass diatoms","PP"
0.0238679701259797,0.00730960571452581,3.26528831487432,0.338784141934674,0.0880714586735088,0.363961913814543,0.0188,"C18.3w6",0.132429124339884,"Eelgrass diatoms","PP"
0.0220258989642818,0.015958235760548,1.38022142890847,0.678030206296778,0.894563014586712,0.486170484432103,0.0904,"C16.1w7",0.12220857061756,"Eelgrass diatoms","PP"
0.0193587547151633,0.00731204963554941,2.64751412805594,0.161010771176668,0.228197931389343,0.593580663081908,0.3755,"C16.4w3",0.107410178649805,"Eelgrass diatoms","PP"
0.0165758520071947,0.0112601929374678,1.47207530983234,1.14594219028927,1.25776162631475,0.685550175148247,0.5563,"C16.0",0.0919695120663392,"Eelgrass diatoms","PP"
0.0113945194579103,0.00844300410060427,1.34958118249579,0.625232377158946,0.532447615467548,0.748771564571823,0.6445,"C14.0",0.063221389423576,"Eelgrass diatoms","PP"
0.00910633025796279,0.00777406990324402,1.17137231479779,0.0904364774367662,0,0.799297157475058,0.0577,"C18.4w3",0.0505255929032342,"Eelgrass diatoms","PP"
0.00689595670777557,0.00498191914462213,1.38419683410952,0.159137507082632,0.188234580926485,0.837558706466291,0.5484,"C16.2w6",0.0382615489912335,"Eelgrass diatoms","PP"
0.00434662969284459,0.00438502131509406,0.991244826537714,0.0928924379176465,0.132909307353846,0.861675561021367,0.1049,"C16.3w3",0.0241168545550759,"Eelgrass diatoms","PP"
0.00373534803990507,0.0025509411212285,1.46430194284773,0.129340455323243,0.149316698372485,0.88240077843275,0.1476,"C22.6w3",0.0207252174113833,"Eelgrass diatoms","PP"
