SpCommon,SpScientific,Family,Order,SpCode,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered
Blackline prickleback,Acantholumpenus mackayi,Stichaeidae,Perciformes,BLPRICK,,,,,,,,0.00389,,3.12,,,,,,,,,,,,,,,
Northern spearnose poacher,Agonopsis vulsa,Agonidae,Scorpaeniformes,SPERPOA,,,,,,,,0.00389,,3.12,,,,,,,,,,,,,,,
Pacific sand lance,Ammodytes hexapterus,Ammodytidae ,Perciformes,PSANDL,,,FL,,,,unsexed,0.0404,,3.006,0.9801,,,,,,,,,type I linear regression,"East coast, 1993-94",26572,410,,3
Slender cockscomb,Anoplarchus insignis,Stichaeidae,Perciformes,SLCOCKS,,,,,,,,0.00389,,3.12,,,,,,0.0018,0.00842,2.94,3.3,Bayesian,,fishbase - Bayesian,,,
Sablefish,Anoplopoma fimbria,Anoplopomatidae,Scorpaeniformes,SABLE,30,84,FL,NA,NA,NA,Mixed,0.00192,0.00177,3.4638,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,North Pacific,NA,NA,NA,1287
Sablefish,Anoplopoma fimbria,Anoplopomatidae,Scorpaeniformes,SABLE,NA,NA,FL,NA,NA,NA,Mixed,0.0058,0.00537,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Bering Sea,NA,643,NA,1287
Sablefish,Anoplopoma fimbria,Anoplopomatidae,Scorpaeniformes,SABLE,68,92,FL,NA,NA,162,Male,0.0274,NA,2.78,0.841,NA,NA,NA,NA,NA,NA,2.62,2.95,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,NA,3
Sablefish,Anoplopoma fimbria,Anoplopomatidae,Scorpaeniformes,SABLE,54,83,FL,NA,NA,180,Female,0.0203,NA,2.86,0.872,NA,NA,NA,NA,NA,NA,2.7,3.02,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,NA,3
Penpoint gunnel,Apodichthys flavidus,Pholidae,Perciformes,PENGUNN,,,,,,,,0.00182,,3.15,,,,,,0.00071,0.00463,2.93,3.37,Bayesian,,fishbase - Bayesian,,,
Padded sculpin,Artedius fenestralis,Cottidae,Scorpaeniformes,PADSCUL,,,,,,,,0.00708,,3.13,,,,,,0.00296,0.01692,2.92,3.34,Bayesian,,fishbase - Bayesian,,,
Scalyhead sculpin,Artedius harringtoni,Cottidae,Scorpaeniformes,SCASCUL,,,,,,,,0.00708,,3.13,,,,,,,,,,,,,,,
Smoothhead sculpin,Artedius lateralis,Cottidae,Scorpaeniformes,SMOSCUL,,,,,,,,0.00708,,3.13,,,,,,0.00296,0.01692,2.92,3.34,Bayesian,,fishbase - Bayesian,,,
Tubesnout,Aulorhynchus flavidus,Aulorhynchidae,Gasterosteiformes,TUBESNT,5.5,18.8,TL,,,31,mixed,0.00044,0.00044,3.43,0.9409,,,,,,,,,type I linear regression,"Yaquina Estuary, Oregon",51446,840,Specimens over 16 cm underrepresented in the equation.,3
Tubesnout,Aulorhynchus flavidus,Aulorhynchidae,Gasterosteiformes,TUBESNT,5.5,18.8,TL,,,31,mixed,0.00044,0.00044,3.43,0.9409,,,,,,,,,type I linear regression,"Yaquina Estuary, Oregon",51446,840,Specimens over 16 cm underrepresented in the equation.,3
Crested sculpin,Blepsias bilobus,Cottidae,Scorpaeniformes,CRESCUL,10,19,TL,,,33,mixed,0.0088,,3.0278,0.95063,,,,,,,,,type I linear regression,Northern Primorye,,643,,1287
Silverspotted sculpin,Blepsias cirrhosus,Hemitripteridae,Scorpaeniformes,SILSCUL,,,,,,,,0.00933,,3.08,,,,,,0.00443,0.01965,2.89,3.27,Bayesian,,fishbase - Bayesian,,,
Kelp perch,Brachyistius frenatus,Embiotocidae,Perciformes,KEPERCH,,,,,,,,0.01318,,3.05,,,,,,,,,,,,,,,
Roughback sculpin,Chitonotus pugetensis,Cottidae,Scorpaeniformes,RBSCUL,,,,,,,,0.00708,,3.13,,,,,,,,,,,,,,,
Pacific sanddab,Citharichthys sordidus,Paralichthyidae,Pleuronectiformes,PSDAB,,,,,,,,0.00933,,3.08,,,,,,,,,,,,,,,
Speckled sanddab,Citharichthys stigmaeus,Paralichthyidae,Pleuronectiformes,SPKSDAB,,,,,,,,0.00708,,3.15,,,,,,0.00306,0.01693,2.97,3.33,Bayesian,,fishbase - Bayesian,,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,,,,,,236,unsexed,0.0238,,2.862,,,,,,,,,,Bayesian,"North Puget Sound, Washington, USA",Fishbase - Bayesian,,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,19,31,FL,,,,mixed,0.0093,,3.022,,,,,,,,,,Bayesian,"Sea of Okhotsk, Russia",Fishbase - Bayesian,,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,16.9,32.7,FL,,,82,unsexed,0.00448,,3.127,,,,,,,,,,Bayesian,"Liverpool Bay (69°50'N, 130°20'W), Canada",Fishbase - Bayesian,,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,,,,,,,unsexed,0.00428,,3.232,,,,,,,,,,Bayesian,"San Francisco Bay, California, USA",Fishbase - Bayesian,,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,6.7,28.7,,,,3947,,0.0026,,3.283,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,13.8,28.7,,,,112,,0.0031,,3.235,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,6.7,28,,,,3710,,0.0025,,3.305,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Pacific herring,Clupea pallasii,Clupeidae,Clupeiformes,HERRING,12.8,25.9,,,,104,,0.0038,,3.141,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Shiner perch,Cymatogaster aggregata,Embiotocidae,Perciformes,SHPERCH,,,TL,,,,,0.0195,,3.02,,,,,,,,,,Bayesian,,Fishbase - Bayesian Ref. 93245,,,
Buffalo sculpin,Enophrys bison,Cottidae,Scorpaeniformes,BUFSCUL,,,TL,,,,,0.00912,,3.09,,,,,,,,,,Bayesian,,Fishbase - Bayesian; Ref 93245,,,
Antlered sculpin,Enophrys diceraus,Cottidae,Scorpaeniformes,ANTSCUL,,,,,,,,,,,,,,,,,,,,,,,,,
Leister sculpin,Enophrys lucasi,Cottidae,Scorpaeniformes,LSCUL,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific spiny lumpsucker,Eumicrotremus orbis,Cyclopteridae,Scorpaeniformes,SPILUMP,,,,,,,,,,,,,,,,,,,,,,,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,28,68,FL,,,1445,Mixed,0.0876,,2.308,,,,,,,,,,Bayesian,"SE Sakhalin, Russia 1975-1978",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,24,64,FL,,,1948,Mixed,0.0599,,2.39,,,,,,,,,,Bayesian,"Peter the Great Bay, Sea of Japan, Russia 1979/1980",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,16,70,FL,,,2397,Mixed,0.0613,,2.482,,,,,,,,,,Bayesian,"SE Bering Sea, USA / 1979-1980",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,8,74,FL,,,1105,Mixed,0.0338,,2.599,,,,,,,,,,Bayesian,"Havarin canyon, Russia / 1978-1979",Fishbase - Bayesian,,,
