site,date,YYYYMMDD,primary_observer,secondary_observer,start_time,end_time,depth_m,quadrat,macroalgae_cover_0.25msq,diatom_cover_0.25msq,eelgrass_shoots_0.25msq,flowering_shoots_0.25msq,notes
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,1,5,NA,54,0,
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,2,0,NA,41,0,
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,3,0,NA,59,0,
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,4,0,NA,46,0,
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,5,0,NA,66,0,
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,6,0,NA,60,0,
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,7,0,NA,72,0,
2017_H_01,4/29/2017,20170429,BH,WR,1055,1115,-0.5,8,0,NA,55,0,
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,1,0,20,42,0,
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,2,0,30,48,0,
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,3,0,25,79,0,
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,4,0,28,48,0,
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,5,0,24,62,0,
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,6,0,35,69,0,dead c.gracillis
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,7,0,98,62,0,
2017_H_02,5/29/2017,20170529,WR,CM,1135,1205,-0.5,8,0,98,80,0,
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,1,0,100,45,2,
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,2,0,100,74,1,
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,3,0,100,65,2,
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,4,0,100,60,0,
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,5,0,100,64,3,
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,6,0,100,27,1,
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,7,0,100,33,1,threespine stickleback
2017_H_03,6/25/2017,20170625,WR,CM,1000,1030,-0.5,8,0,100,73,2,
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,1,0,100,42,0,
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,2,0,75,25,0,
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,3,0,65,35,0,Buffalo sculpin
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,4,0,90,53,0,
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,5,0,100,62,0,
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,6,0,100,43,0,
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,7,0,100,43,0,hard to sample because of depth
2017_H_04,6/24/2017,20170624,WR,CM,923,1050,-0.61,8,0,100,58,0,hard to sample because of depth
2017_H_05,7/25/2017,20170725,WR,CM,1030,1110,-0.65,1,0,100,42,2,low visability
2017_H_05,7/25/2017,20170725,WR,CM,1030,1110,-0.65,2,0,100,43,0,low visability
2017_H_05,7/25/2017,20170725,WR,CM,1030,1110,-0.65,3,0,100,49,1,low visability
2017_H_05,7/25/2017,20170725,WR,CM,1030,1110,-0.65,4,0,100,43,0,low visability
2017_H_05,7/25/2017,20170725,WR,CM,1030,1110,-0.65,5,0,100,56,1,low visability
2017_H_05,7/25/2017,20170725,WR,CM,1030,1110,-0.65,6,0,100,55,0,low visability
2017_H_05,7/25/2017,20170725,WR,CM,1030,1110,-0.65,7,0,100,54,0,low visability
