site,collection_date,YYYYMMDD,quadrat,plant,rhi_length,node1,node2,node3,node4,node5,leaf_length1,leaf_length2,leaf_length3,leaf_length4,leaf_length5,leaf_length6,leaf_length7,leaf_length8,leaf_length9,leaf_length10,leaf_width1,leaf_width2,leaf_width3,leaf_width4,leaf_width5,leaf_width6,leaf_width7,leaf_width8,leaf_width9,leaf_width10,pad_mass_g,pad_epiphyte_mass_g,rhi_mass_fw,rhi_foil,rhi_foil_dw_g,shoot_mass_fw,shoot_foil,shoot_foil_dw,xs_shoot_mass_fw,xs_shoot_foil,xs_shoot_foil_dw,xs_pad_mass_g,xs_epiphyte_pad_mass_g,iso_count,iso_fw,iso_foil,iso_foil_dw,gamm_amph_count,gamm_amph_fw,gamm_amph_foil,gamm_amph_foil_dw,caprel_count,caprel_fw,caprel_foil,caprel_foil_dw,limpet_count,limpet_fw,limpet_foil,limpet_foil_dw,gastropod_count,gastropod_fw,gastropod_foil,gastropod_foil_dw,crab_count,crab_fw,crab_foil,crab_foil_dw,polychaete_count,other_animal_notes,notes
2017_H_01,29/4/17,20170429,1,1,5.0,0.5,0.4,0.3,0.2,0.2,22.1,18.9,14.5,6.4,13.3,,,,,,0.3,0.2,0.2,0.2,0.2,,,,,,0.5430,0.5491,0.2266,0.6581,0.6838,0.2687,0.9048,0.9438,4.7732,0.7891,1.3804,,,,,,,3,0.0059,0.4953,0.4972,,,,,,,,,,,,,,,,,6,,
2017_H_01,29/4/17,20170429,1,2,5.0,0.7,0.4,0.3,0.3,0.3,25.2,17.6,22.0,14.9,8.0,3.6,,,,,0.3,0.3,0.3,0.3,0.3,0.2,,,,,0.5292,0.5301,0.4884,0.4273,0.4781,0.4123,0.7284,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,1,3,5.0,0.3,0.3,0.4,0.3,0.2,16.4,9.8,14.1,9.4,,,,,,,0.2,0.2,0.2,0.2,,,,,,,0.5365,0.5428,0.3458,0.4500,0.4897,0.1652,0.7582,0.7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,1,4,4.6,0.4,0.4,0.3,0.4,0.2,21.0,18.0,8.5,17.0,16.5,,,,,,0.3,0.2,0.2,0.2,0.2,,,,,,0.4913,0.4937,0.3971,0.3757,0.4109,0.3210,0.6111,0.6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,1,5,5.0,0.2,0.2,0.3,0.2,0.3,13.0,13.6,9.6,,,,,,,,0.2,0.2,0.2,,,,,,,,0.5918,0.5961,0.4551,0.5497,0.5861,0.1163,0.7077,0.7244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,1,4.6,1.2,0.6,0.4,0.3,0.3,32.4,22.1,25.0,27.3,12.4,9.2,6.0,,,,0.4,0.4,0.4,0.4,0.2,0.2,0.3,,,,0.5382,0.5432,0.8057,0.4028,0.4746,0.8043,0.5844,0.7330,1.5161,0.9426,1.1118,,,,,,,21,0.0360,0.4771,0.4819,,,,,,,,,,,,,,,,,7,1 clam,
2017_H_01,29/4/17,20170429,2,2,4.0,0.3,0.3,0.2,0.2,0.2,23.0,12.3,16.1,9.3,15.5,,,,,,0.2,0.2,0.2,0.2,0.3,,,,,,0.5878,0.5943,0.3350,0.2876,0.3297,0.2922,0.6784,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,3,5.0,0.3,0.2,0.2,0.2,0.3,16.5,21.1,22.7,8.7,15.5,,,,,,0.2,0.2,0.2,0.2,0.3,,,,,,0.5656,0.5720,0.3151,0.3837,0.4215,0.3015,0.6553,0.6980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,4,5.0,0.5,0.6,0.4,0.3,0.2,26.0,21.1,20.2,10.2,17.5,,,,,,0.3,0.2,0.3,0.3,0.2,,,,,,0.5224,0.5295,0.4294,0.3945,0.4444,0.3661,0.6856,0.7424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,5,3.6,0.4,0.6,0.4,0.2,0.2,26.5,18.1,25.7,11.3,22.7,,,,,,0.4,0.3,0.3,0.3,0.4,,,,,,0.5057,0.5127,0.4352,0.5870,0.6552,0.5658,0.7684,0.8559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
