"species_scientific","site","place_name","date","YYYYMMDD","start_time","end_time","slope","tide_height","tide_time","species_common","sp_code","taxon","fork_length","unmeasured","unmeasured_sm","sex","SpCommon","Family","Order","SpCode","a","b","fork_length_cm","mass_g"
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",124,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.4,78.2000355890112
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",113,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,11.3,59.1473329316074
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",91,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.1,30.8503283285214
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",85,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.5,25.1312827156641
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",93,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.3,32.9337442377803
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",120,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12,70.8598438112949
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",120,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12,70.8598438112949
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,106,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.6,48.8034805638642
"Ammodytes hexapterus","2018_H_03","Nossuk Bay","7/31/2018",20180731,915,927,"",0,935,"Pacific sand lance","SANDLNCP","Vertebrata",50,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,5,5.09900218588494
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",110,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,11,54.5516356374175
