"place_name","date","fish_count","fish_mass","fish_SW_diverse","fish_rich"
"Salt Lake Bay","2017-04-29",3104,129620.781532919,0.382826448858733,13
"Nossuk Bay","2017-05-29",598,2258.78528422295,1.7610242050428,26
"Chusini Cove","2017-06-25",3311,12631.8310673426,0.345824601456415,14
"Kaguk Cove","2017-06-24",1000,8936.83873363407,1.98030861653139,23
"Naukati Bay","2017-07-25",1266,6324.27118641978,0.907736963445926,13
"Guktu Bay","2017-07-24",353,2603.60166833741,1.94365467965821,22
"Blanquizal Point","2017-08-20",471,7542.98218749973,2.25122840290382,23
"Soda Bay","2017-04-30",574,3405.42445134088,1.79282390757369,21
"Goats mouth inlet","2017-05-27",206,474.253896398927,1.58667000190167,16
"North Pass","2017-05-26",1271,8767.9984571694,0.951591039201037,18
"Natzuhini Bay","2017-06-28",3522,16723.0822532646,0.543076535665322,16
"Dunbar Inlet","2017-06-27",672,16675.584784653,1.67088167334979,18
"Farallon Bay","2017-07-23",768,10409.2106383103,2.01720672156662,25
"Hetta Cove","2017-07-22",3962,86206.7392416499,0.63175295564266,17
"North Fish Egg Island","2017-05-24",431,471.119852372012,1.53352231461962,15
"South Fish Egg Island","2017-05-25",535,3187.12387331063,1.76890624636404,22
"South Wadleigh Island","2017-06-22",1377,20597.9661750603,1.61722190258107,20
"Shinaku Inlet","2017-06-23",1038,15230.9994977588,1.33518611227299,16
"Trocadero Bay","2017-08-21",770,20633.6767124043,1.14223114298455,11
"Garcia Bay","2017-07-26",3360,18464.4861224931,0.918733582530076,25
"Port Refugio","2017-08-22",1383,19805.7700800942,1.49802699159475,18
