bed_no,date_MM.DD.YY,species,boat_track,drone,drone_launch_time_AKDT,time_UTC,latitude_decimal_degrees,longitude_decimal_degrees,density
1,07.08.17,Macrocystis,N,Y,N/A,N/A,N/A,N/A,5
2,07.08.17,Macrocystis and Nereocystis,N,Y,N/A,N/A,N/A,N/A,5
3,07.08.17,Macrocystis,N,Y,N/A,N/A,N/A,N/A,4
4,07.08.17,Macrocystis,N,Y,N/A,N/A,N/A,N/A,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:30:51,55.64058376,-133.6229912,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:30:52,55.64057646,-133.6230177,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:30:56,55.6405416,-133.6231151,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:30:58,55.64053003,-133.6231615,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:00,55.64052542,-133.6232039,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:04,55.64052542,-133.6232654,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:09,55.6405457,-133.6233083,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:16,55.64058652,-133.6233097,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:17,55.64058937,-133.6233039,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:28,55.6406918,-133.6232095,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:34,55.6407809,-133.6231508,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:36,55.64081216,-133.6231596,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:43,55.64091744,-133.6231903,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:44,55.64092901,-133.6231958,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:46,55.64095524,-133.623209,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:47,55.64096681,-133.6232157,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:53,55.64105297,-133.6231816,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:31:57,55.64110754,-133.6231828,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:04,55.64119957,-133.6232774,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:13,55.6412813,-133.6234372,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:18,55.64133377,-133.6234017,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:23,55.64139253,-133.6233102,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:25,55.64140828,-133.6232578,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:29,55.64144307,-133.6231406,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:30,55.64145464,-133.6231072,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:34,55.64147341,-133.6229712,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:42,55.64141273,-133.6228032,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:44,55.64138255,-133.6227762,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:45,55.64136235,-133.622765,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:47,55.64131918,-133.6227468,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:50,55.64126093,-133.6227048,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:32:54,55.64119656,-133.6226088,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:00,55.64111006,-133.6224423,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:01,55.64110042,-133.6224138,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:02,55.64109271,-133.6223833,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:03,55.64108483,-133.622352,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:05,55.64107552,-133.6222991,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:09,55.64106287,-133.6221846,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:11,55.64105708,-133.6221285,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:20,55.6410062,-133.6219943,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:21,55.64099983,-133.6219875,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:23,55.64098734,-133.621975,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:31,55.64093747,-133.6219467,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:32,55.64093077,-133.6219482,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:38,55.64089816,-133.6219921,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:43,55.64089288,-133.6220926,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:53,55.64092934,-133.6223742,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:58,55.64092699,-133.6225424,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:33:59,55.64092037,-133.6225676,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:34:00,55.64091174,-133.6225906,3
