,FID,OBJECTID,AtlasID,SiteID,Region,Locale,Location,DataType,Site,Habitat,Lat1,Long1,Date,Season,SeasonNoYe,Year,FID_1,Id,Year_1,Name,YRwSEOT,Before_Aft
351,350,524,41,162,southeastern Alaska,Bostwick Inlet,Gravina Island,fish,B01,Eelgrass,55.23638889,-131.75,8/14/00,Summer00,Summer,2000,0,0,0, ,0,
352,351,525,41,163,southeastern Alaska,Bostwick Inlet,Gravina Island,fish,B02,Eelgrass,55.23416667,-131.73,8/14/00,Summer00,Summer,2000,0,0,0, ,0,
353,352,526,41,164,southeastern Alaska,Bostwick Inlet,Gravina Island,fish,B03,Kelp,55.22,-131.7361111,8/14/00,Summer00,Summer,2000,0,0,0, ,0,
354,353,527,41,165,southeastern Alaska,Bostwick Inlet,Gravina Island,fish,B04,Kelp,55.20777778,-131.7277778,8/14/00,Summer00,Summer,2000,0,0,0, ,0,
994,993,982,0,602,southeastern Alaska,Kah Shakes Cove, ,fish,B11,Kelp,55.047,-131.0105,6/15/07,Summer07,Summer,2007,0,0,0, ,0,
995,994,983,0,603,southeastern Alaska,Kah Shakes Cove, ,fish,B12,Eelgrass,55.0426,-130.9995,6/15/07,Summer07,Summer,2007,0,0,0, ,0,
997,996,985,0,605,southeastern Alaska,Kah Shakes Cove, ,fish,B14,Kelp,55.0635,-130.9917,6/15/07,Summer07,Summer,2007,0,0,0, ,0,
998,997,986,0,606,southeastern Alaska,Reef Harbor,Duke Island,fish,B15,Kelp,54.9744,-131.2538,6/16/07,Summer07,Summer,2007,0,0,0, ,0,
999,998,987,0,607,southeastern Alaska,Reef Harbor,Duke Island,fish,B16,Eelgrass,54.9684,-131.2492,6/16/07,Summer07,Summer,2007,0,0,0, ,0,
1002,1001,990,0,610,southeastern Alaska,Thorne Arm,Revillagigedo Island,fish,B19,Eelgrass,55.3868,-131.2886,6/17/07,Summer07,Summer,2007,0,0,0, ,0,
1003,1002,991,0,611,southeastern Alaska,Thorne Arm,Revillagigedo Island,fish,B20,Kelp,55.3209,-131.2566,6/17/07,Summer07,Summer,2007,0,0,0, ,0,
1005,1004,993,0,613,southeastern Alaska,Sylburn Harbor,Annette Island,fish,B22,Kelp,55.176,-131.5972,6/18/07,Summer07,Summer,2007,0,0,0, ,0,
1006,1005,994,0,614,southeastern Alaska,Sylburn Harbor,Annette Island,fish,B23,Eelgrass,55.1782,-131.5791,6/18/07,Summer07,Summer,2007,0,0,0, ,0,
1008,1007,996,0,616,southeastern Alaska,Dall Bay,Gravina Island,fish,B25,Kelp,55.1551,-131.7421,6/19/07,Summer07,Summer,2007,0,0,0, ,0,
1009,1008,997,0,617,southeastern Alaska,Dall Bay,Gravina Island,fish,B26,Eelgrass,55.1561,-131.7498,6/19/07,Summer07,Summer,2007,0,0,0, ,0,
1011,1010,999,0,619,southeastern Alaska,Clover Passage,Revillagigedo Island,fish,B28,Eelgrass,55.5446,-131.7032,6/20/07,Summer07,Summer,2007,0,0,0, ,0,
1012,1011,1000,0,620,southeastern Alaska,Clover Passage,Grant Island,fish,B29,Kelp,55.5565,-131.7058,6/20/07,Summer07,Summer,2007,0,0,0, ,0,
