,,,,,Eelgrass shoot density (m-1),,Macroalgal percent cover,,Diatom percent cover,,Flowering eelgrass shoot density (m-1),,Eelgrass shoot area (cm2),,Epiphyte mass (g),,Shoot mass (g),,Rhizome mass (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,date,latitude,longitude,depth (m),Mean,st. error,Mean,st. error,Mean,st. error,Mean,st. error,Mean,st. error,Mean,st. error,Mean,st. error,Mean,st. error,abvgnd_mass,abvgnd_mass_se,blwgnd_mass,blwgnd_mass_se,epiphmass_shootarea,epiphmass_shootarea_se,epiphmass_shootmass,epiphmass_shootmass_se,grazer_mass,grazer_mass_se,crus_mass,crus_mass_se,gast_mass,gast_mass_se,grazermass_shootmass,grazermass_shootmass_se,crusmass_shootmass,crusmass_shootmass_se,gastmass_shootmass,gastmass_shootmass_se,crab_count,crab_mass,rock_count,rock_mass,fish_count,fish_mass,fish_SW_diverse,fish_rich,Agonidae,Ammodytidae ,Aulorhynchidae,Clupeidae,Cottidae,Cryptacanthodidae,Embiotocidae,Gadidae,Gasterosteidae,Hemitripteridae,Hexagrammidae,Paralichthyidae,Pholidae,Pleuronectidae,Rhamphocottidae,Salmonidae,Sebastidae,Stichaeidae,Syngnathidae
Salt Lake Bay,4/29/2017,55.67264,-133.378,-0.5,226.5,14.22146265,0.625,0.625,NA,NA,0,0,22.38725,2.107069866,0.0070025,0.000596543,0.04945,0.004979359,0.046415963,0.003967268,11.09021,1.120876961,10.39473898,0.888183346,0.000329031,4.05E-05,0.14994135,0.018637131,0.00305,0.000581562,0.0027875,0.000476384,0.0002625,0.000248522,0.01298889,0.002960006,0.011734467,0.002385482,0.001254423,0.001179472,1.444444444,60.07178874,0.777777778,47.4718116,3104,129620.7815,0.382826449,13,0,129117.3269,0,0,135.5080767,0,0,0,90.53852651,0,5.293797936,0,8.207838965,58.99460853,0,203.0576197,0,0,1.854155462
Nossuk Bay,5/29/2017,55.7073,-133.342,-0.5,245,20.35050017,0,0,44.75,11.72413567,0,0,76.859,7.711110972,0.011245,0.00050851,0.18315,0.02060053,0.083571429,0.00628971,46.13512,7.86322844,20.47270694,2.476895775,0.000156653,1.65E-05,0.067149468,0.00818006,0.0194,0.007964452,0.0103,0.007109953,0.0091,0.003194135,0.009715837,0.00309586,0.004363475,0.002896449,0.005352362,0.001255337,0.388888889,13.84268405,0.333333333,11.56873925,598,2258.785284,1.761024205,26,7.050465261,0,4.637443445,4.717370913,1193.857322,0,0,0.339932041,323.2596272,0.095778949,31.75945424,0,35.33204942,147.6708715,0,440.8481364,0,15.58406194,53.63277113
Chusini Cove,6/25/2017,55.80692,-133.171,-0.5,220.5,25.40458339,0,0,100,0,6,1.309307341,158.24525,13.39402811,0.0022,0.001065625,0.43073,0.043823784,0.080641667,0.010910656,95.5658,13.07049237,17.85511,2.709065669,1.14E-05,5.08E-06,0.004045102,0.001774784,0.16905,0.031010592,0.029875,0.016409925,0.139175,0.029930877,0.061418315,0.009096952,0.011129554,0.006418014,0.050288761,0.008127056,0.111111111,3.522851352,0.222222222,7.045702705,3311,12631.83107,0.345824601,14,0,0,6.469267865,0,3140.429059,0,0,0,8683.929587,0,12.45635981,0,35.27398594,409.8221039,0,5.572697038,0,324.2449508,13.63305606
Kaguk Cove,6/24/2017,55.73361,-133.29,-0.61,180.5,17.22850628,0,0,91.25,4.887118637,0,0,161.435,14.08752106,0.0072075,0.00164128,0.414075,0.049179147,0.094455139,0.006174375,74.62484,10.81165369,16.93533649,1.689940111,4.87E-05,1.26E-05,0.020635004,0.005936799,0.1243625,0.060148076,0.0721,0.046816011,0.0522625,0.014979795,0.023960361,0.007764269,0.012143478,0.006540174,0.011816883,0.001931191,0.277777778,8.253042653,0.444444444,11.66521695,1000,8936.838734,1.980308617,23,0.666622601,60.73476399,52.60406456,3839.486029,2396.541569,0,382.2740946,474.0360694,315.8427726,0.537247461,16.78534869,0,99.4430676,194.0422313,0.326678476,0,0,1091.968903,11.5492722
Naukati Bay,7/25/2017,55.862405,-133.190722,-0.65,205,12.55274586,0,0,100,0,2.5,1.052208562,143.7985,7.552105816,0.014115,0.000477834,0.4093125,0.038615988,0.071965114,0.00180657,83.53737,8.267190778,14.74675227,0.955223925,0.00010001,6.36E-06,0.036357798,0.003395025,0.1093375,0.027107833,0.0138125,0.009319516,0.095525,0.022309453,0.061020843,0.011461393,0.006270091,0.003226777,0.054750752,0.011007055,0.611111111,20.35363226,1.111111111,39.11731945,1266,6324.271186,0.907736963,13,0,0,0,0,2517.467821,0,516.9767893,0,1346.265709,0,6.558956305,0,332.9561257,379.0326327,0,0,0,1205.085549,19.9276037
Guktu Bay,7/24/2017,55.739816,-133.312022,-0.7,186,28.23371844,0,0,96.5,2.035400978,2,1.069044968,179.2525,14.93770451,0.03219,0.002190515,0.51724,0.053739977,0.087455,0.005092476,101.21096,20.62199993,16.26161,2.531756386,0.00018592,1.64E-05,0.065748991,0.006254518,0.026225,0.007743771,0.00405,0.003383732,0.022175,0.007428679,0.008205074,0.002759269,0.000886544,0.000611925,0.00731853,0.002746982,0.555555556,15.36989281,0.111111111,4.546687358,353,2603.601668,1.94365468,22,0,0,0,27.07726332,1141.247913,5.623435813,321.8239665,116.6757939,48.05550379,0.514617297,3.789881604,0,209.3770054,251.6263247,2.204906183,51.84239503,0,408.2376271,15.50503514
Blanquizal Point,8/20/2017,55.62082,-133.38664,-0.52,401,34.73779333,0.375,0.375,15,2.112885637,1.5,0.731925055,115.8895,9.625059619,0.010155,0.001115378,0.38801,0.033959205,0.122538777,0.009325182,155.92882,19.9513025,48.3587243,4.202606314,9.39E-05,1.59E-05,0.028202658,0.004819198,0.0561625,0.018577607,0.0262125,0.013190411,0.02995,0.007306871,0.037099066,0.009726547,0.013107536,0.005718451,0.02399153,0.007838484,0.555555556,34.28842711,1,59.1131824,471,7542.982187,2.251228403,23,0,0,4.791487856,0,796.574429,0,1889.330743,29.31572234,7.122125079,1.254412588,1028.364714,6.087350509,478.1494122,0,0,0,2718.904308,379.5386505,203.5488321
Soda Bay,4/30/2017,55.26366,-132.995,-0.5,143.5,21.4800572,0,0,15.875,2.325614358,0,0,14.9215,1.785964555,0.007676667,0.000494276,0.04980625,0.003655322,0.051294587,0.001788764,6.858815,0.852645297,7.277601837,0.990400765,0.000632171,0.000131048,0.15332335,0.009424161,0.0004125,0.000278027,0,0,0.0004125,0.000278027,0.002796244,0.001838246,0,0,0.002796244,0.001838246,0.944444444,60.18172041,1.777777778,119.7444373,574,3405.424451,1.792823908,21,1.68521566,0,0,0,478.2194538,0,968.8371891,0.79487041,1068.818167,0,12.37615182,0,37.00987815,561.0483992,0,223.7977362,0,29.51050483,23.32688479
Goats mouth inlet,5/27/2017,55.19286,-132.9,-0.5,232,24.20153478,13.375,3.736583141,20,2.291287847,0.5,0.5,40.41175,5.261571227,0.0032725,0.001225304,0.11701,0.014845447,0.101913052,0.007176785,26.4319,3.773049152,23.91000436,3.538953854,8.68E-05,3.55E-05,0.030566197,0.012928579,0.015775,0.008684505,0.0137375,0.008811031,0.0020375,0.000929081,0.016730469,0.009921347,0.014543108,0.010229826,0.00218736,0.00091769,1.277777778,270.2547698,2.444444444,533.9224035,206,474.2538964,1.586670002,16,0,0,0.097971694,0,205.655614,0,0,87.30488557,8.955949625,0,18.36419548,0,13.35082275,125.6613656,0,0,0,0.451422685,14.41166891
