"","PreyCat","Season","Cmean","Csd","Nmean","Nsd","n()"
"1","Clam","Spring",-16.1315762098653,0.768796819554526,9.56735294117647,1.05376758067517,34
"2","Clam","Summer",-16.2225461753548,0.635462790591852,10.1893103448276,1.00723075464535,29
"3","Clam","Winter",-16.6000229228796,0.761777276526412,9.83304347826087,0.886312251474967,23
"4","Crab","Spring",-14.2534936698879,1.05432924275135,11.8042105263158,1.28177097880443,19
"5","Crab","Summer",-14.744162904392,1.20891770312973,12.0085,0.96790753690629,20
"6","Crab","Winter",-15.7231002309622,1.46106642470481,11.4433333333333,0.978148761692208,9
"7","Cucumber.Snail","Spring",-13.520026467309,0.889540642418419,9.915,0.569527094273057,10
"8","Cucumber.Snail","Summer",-14.60468015261,0.718169070506345,10.11125,0.574168653669933,8
"9","Cucumber.Snail","Winter",-14.373936973315,0.295556359646507,10.8433333333333,0.951707237897594,6
"10","Mussel","Spring",-17.0312283516389,0.659240708772945,8.91888888888889,0.773230955867075,9
"11","Mussel","Summer",-17.7536665774078,1.18453578096128,8.59,0.590338885725818,9
"12","Mussel","Winter",-17.4918874176518,1.12082922092238,8.96,0.712544735437713,11
"13","Urchin","Spring",-12.48859027469,2.15474963509072,7.63714285714286,1.59870483293732,7
"14","Urchin","Summer",-14.1484253682767,2.04907657504511,8.52133333333333,1.49206408645716,15
"15","Urchin","Winter",-12.4643658761271,2.0487688276368,7.46142857142857,0.460558666962512,7
