"site_name","site_code","latitude_N","longitude_E","so_region","date_dd.mm.yy","cage_present","replicate","beach_slope","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_width_cm","diffuse_band_height_cm","area_diffuse_band_m2","shoot_density_diffuse_m2","shoot_density_continuous_m2","shoot_density_inside_m2","flower_density_diffuse_m2","flower_density_continuous_m2","flower_density_inside_m2"
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",1,0.04735028906111,214.7398,137.7398,176.2398,77,-43.2602,-57.2602,296,14,148,12,92,260,0,4,4
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",2,0.0546267780546922,209.7398,147.7398,178.7398,62,-57.2602,-60.2602,55,3,27.5,8,168,308,0,20,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",3,0.108745449565407,207.7398,121.7398,164.7398,86,-57.2602,-65.2602,74,8,37,40,148,232,0,4,20
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",4,0.155699788832305,211.7398,139.7398,175.7398,72,-55.2602,-67.2602,78,12,39,24,80,256,0,0,4
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",5,0.0885807893036239,217.7398,126.7398,172.2398,91,-58.2602,-67.2602,102,9,51,64,136,232,0,0,8
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",6,0.0953206247638796,226.7398,130.7398,178.7398,96,-56.2602,-69.2602,137,13,68.5,56,152,184,4,12,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",7,0.0896437464955599,214.7398,148.7398,181.7398,66,-62.2602,-67.2602,56,5,28,44,116,284,0,16,8
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",8,0.0500626174321759,216.7398,148.7398,182.7398,68,-59.2602,-62.2602,60,3,30,88,112,148,0,4,12
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",9,0.0726547742148871,213.7398,158.7398,186.2398,55,-52.2602,-57.2602,69,5,34.5,68,156,276,0,8,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",10,0.105341564419863,219.7398,138.7398,179.2398,81,-43.2602,-54.2602,105,11,52.5,28,100,312,0,4,4
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",11,0.0934283671734104,215.7398,145.7398,180.7398,70,-41.2602,-81.2602,430,40,215,16,184,216,0,8,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",1,0.0646508183835236,264.8157818,125.8157818,195.3157818,139,-12.1842182,-18.1842182,93,6,46.5,28,288,272,0,4,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",2,0.0976044825871079,252.8157818,124.8157818,188.8157818,128,-10.1842182,-27.1842182,175,17,87.5,52,212,284,0,0,4
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",3,0.0878368967005369,255.8157818,125.8157818,190.8157818,130,-1.1842182,-15.1842182,160,14,80,40,224,192,0,8,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",4,0.0726912935085673,252.8157818,132.8157818,192.8157818,120,8.8157818,-20.1842182,400,29,200,32,192,260,0,0,8
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",5,0.0620237196166737,253.8157818,124.8157818,189.3157818,129,27.8157818,-37.1842182,1050,65,525,164,228,276,0,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",6,0.0473451178250437,251.8157818,124.8157818,188.3157818,127,30.8157818,-31.1842182,1311,62,655.5,100,172,228,0,4,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",7,0.042647426460639,246.8157818,119.8157818,183.3157818,127,19.8157818,-29.1842182,1150,49,575,84,216,304,0,0,8
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",8,0.0474760952078448,251.8157818,131.8157818,191.8157818,120,-4.1842182,-27.1842182,485,23,242.5,32,264,220,0,0,0
