"site_name","site_code","latitude_N","longitude_E","so_region","cage_present","date_dd.mm.yy","replicate","distance_diffuse_band_cm","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_height_cm","beach_slope","area_diffuse_band_m2","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",1,296,214.7398,137.7398,176.2398,77,-43.2602,-57.2602,14,0.04735028906111,148,260,92,12,4,4,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",2,55,209.7398,147.7398,178.7398,62,-57.2602,-60.2602,3,0.0546267780546922,27.5,308,168,8,0,20,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",3,74,207.7398,121.7398,164.7398,86,-57.2602,-65.2602,8,0.108745449565407,37,232,148,40,20,4,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",4,78,211.7398,139.7398,175.7398,72,-55.2602,-67.2602,12,0.155699788832305,39,256,80,24,4,0,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",5,102,217.7398,126.7398,172.2398,91,-58.2602,-67.2602,9,0.0885807893036239,51,232,136,64,8,0,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",6,137,226.7398,130.7398,178.7398,96,-56.2602,-69.2602,13,0.0953206247638796,68.5,184,152,56,0,12,4
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",7,56,214.7398,148.7398,181.7398,66,-62.2602,-67.2602,5,0.0896437464955599,28,284,116,44,8,16,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",8,60,216.7398,148.7398,182.7398,68,-59.2602,-62.2602,3,0.0500626174321759,30,148,112,88,12,4,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",9,69,213.7398,158.7398,186.2398,55,-52.2602,-57.2602,5,0.0726547742148871,34.5,276,156,68,0,8,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",10,105,219.7398,138.7398,179.2398,81,-43.2602,-54.2602,11,0.105341564419863,52.5,312,100,28,4,4,0
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","Yes","26/6/18",11,430,215.7398,145.7398,180.7398,70,-41.2602,-81.2602,40,0.0934283671734104,215,216,184,16,0,8,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",1,93,264.8157818,125.8157818,195.3157818,139,-12.1842182,-18.1842182,6,0.0646508183835236,46.5,272,288,28,0,4,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",2,175,252.8157818,124.8157818,188.8157818,128,-10.1842182,-27.1842182,17,0.0976044825871079,87.5,284,212,52,4,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",3,160,255.8157818,125.8157818,190.8157818,130,-1.1842182,-15.1842182,14,0.0878368967005369,80,192,224,40,0,8,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",4,400,252.8157818,132.8157818,192.8157818,120,8.8157818,-20.1842182,29,0.0726912935085673,200,260,192,32,8,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",5,1050,253.8157818,124.8157818,189.3157818,129,27.8157818,-37.1842182,65,0.0620237196166737,525,276,228,164,0,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",6,1311,251.8157818,124.8157818,188.3157818,127,30.8157818,-31.1842182,62,0.0473451178250437,655.5,228,172,100,0,4,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",7,1150,246.8157818,119.8157818,183.3157818,127,19.8157818,-29.1842182,49,0.042647426460639,575,304,216,84,8,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",8,485,251.8157818,131.8157818,191.8157818,120,-4.1842182,-27.1842182,23,0.0474760952078448,242.5,220,264,32,0,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",9,120,244.8157818,141.8157818,193.3157818,103,-9.1842182,-14.1842182,5,0.041702882811415,60,264,192,72,0,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",10,1814,256.8157818,120.8157818,188.8157818,136,13.8157818,-30.1842182,44,0.0242629268280637,907,192,256,80,4,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","Yes","2/6/18",11,1620,NA,NA,NA,NA,4.8157818,-38.1842182,43,0.0265525652232205,810,184,176,24,0,0,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",1,160,235.3165333,132.3165333,183.8165333,103,-8.68346670000001,-19.6834667,11,0.068913053827224,80,372,248,4,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",2,258,244.3165333,124.3165333,184.3165333,120,-4.68346670000001,-23.6834667,19,0.0738439238802284,129,428,140,6,0,0,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",3,265,247.3165333,115.3165333,181.3165333,132,3.31653329999999,-16.6834667,20,0.0756875632608597,132.5,364,192,14,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",4,57,248.3165333,118.3165333,183.3165333,130,-17.6834667,-23.6834667,6,0.105851224804993,28.5,236,260,10,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",5,376,245.3165333,117.3165333,181.3165333,128,3.31653329999999,-27.6834667,31,0.0827284603286316,188,372,132,8,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",6,126,240.3165333,126.3165333,183.3165333,114,-16.6834667,-23.6834667,7,0.0556414884074657,63,404,240,30,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",7,231,235.3165333,124.3165333,179.8165333,111,-2.68346670000001,-19.6834667,17,0.0737931746155239,115.5,364,236,4,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",8,244,232.3165333,128.3165333,180.3165333,104,-9.68346670000001,-27.6834667,18,0.0739720475003199,122,300,164,14,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",9,445,226.3165333,122.3165333,174.3165333,104,-6.68346670000001,-32.6834667,26,0.0585269487193151,222.5,376,168,18,0,12,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",10,192,217.3165333,125.3165333,171.3165333,92,-11.6834667,-25.6834667,14,0.0731112862173643,96,296,356,28,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","No","30/6/18",11,75,NA,NA,NA,NA,-12.6834667,-18.6834667,6,0.0802572353905128,37.5,252,228,2,0,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",1,1134,221.7531429,92.7531429,157.2531429,129,-19.2468571,-46.2468571,27,0.023816275411477,567,120,196,100,4,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",2,837,230.7531429,104.7531429,167.7531429,126,-22.2468571,-45.2468571,23,0.0274894726124077,418.5,240,100,48,16,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",3,1592,236.7531429,94.7531429,165.7531429,142,-24.2468571,-49.2468571,25,0.0157054541934897,796,220,100,88,0,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",4,1095,221.7531429,91.7531429,156.7531429,130,-20.2468571,-41.2468571,21,0.0191816100031131,547.5,184,56,48,0,4,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",5,1141,224.7531429,88.7531429,156.7531429,136,-25.2468571,-51.2468571,26,0.0227929472943535,570.5,200,56,160,8,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",6,1722,225.7531429,89.7531429,157.7531429,136,-25.2468571,-50.2468571,25,0.014519532561818,861,116,68,88,8,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",7,1544,233.7531429,95.7531429,164.7531429,138,-25.2468571,-58.2468571,33,0.0213779403550137,772,128,92,40,12,4,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",8,941,236.7531429,110.7531429,173.7531429,126,-25.2468571,-57.2468571,32,0.0340260563246514,470.5,188,60,80,12,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",9,461,228.7531429,102.7531429,165.7531429,126,-39.2468571,-46.2468571,7,0.015186132578412,230.5,228,52,72,12,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",10,950,227.7531429,105.7531429,166.7531429,122,-42.2468571,-56.2468571,14,0.0147384425992279,475,112,124,64,8,4,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","Yes","13/6/18",11,530,NA,NA,NA,NA,-44.2468571,-53.2468571,9,0.0169835809349265,265,120,160,44,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",1,365,231.3424,116.3424,173.8424,115,-36.6576,-50.6576,14,0.0383844102590558,182.5,168,124,48,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",2,150,225.3424,103.3424,164.3424,122,-29.6576,-34.6576,5,0.0333518672982535,75,156,136,48,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",3,104,227.3424,97.3424,162.3424,130,-35.6576,-36.6576,1,0.00961582914438859,52,224,200,24,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",4,185,229.3424,116.3424,172.8424,113,-39.6576,-42.6576,3,0.0162183487908888,92.5,104,112,40,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",5,58,230.3424,111.3424,170.8424,119,-44.6576,-45.6576,1,0.0172439425125162,29,192,164,20,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",6,330,NA,NA,NA,NA,-36.6576,-52.6576,16,0.0485419377768588,165,164,100,44,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",7,105,NA,NA,NA,NA,-31.6576,-34.6576,3,0.0285830975237515,52.5,188,88,32,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",8,250,NA,NA,NA,NA,-34.6576,-49.6576,15,0.0601082924775646,125,176,124,24,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",9,99,NA,NA,NA,NA,-34.6576,-39.6576,5,0.0505695871289209,49.5,216,188,52,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",10,223,NA,NA,NA,NA,-24.6576,-36.6576,12,0.0538897398743857,111.5,252,164,56,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","Yes","30/5/18",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,76,16,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",1,335,257.5016,197.5016,227.5016,60,-38.4984,-54.4984,16,0.0478157621912829,167.5,156,112,20,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",2,390,255.5016,200.5016,228.0016,55,-37.4984,-56.4984,19,0.0487758663645735,195,100,76,24,0,4,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",3,649,251.5016,199.5016,225.5016,52,-35.4984,-77.4984,42,0.0648508870950193,324.5,88,72,28,4,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",4,458,246.5016,191.5016,219.0016,55,-44.4984,-72.4984,28,0.0612499401856345,229,120,84,8,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",5,293,254.5016,194.5016,224.5016,60,-44.4984,-69.4984,25,0.0856365280948918,146.5,72,96,28,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",6,115,250.5016,196.5016,223.5016,54,-54.4984,-67.4984,13,0.113772756827276,57.5,96,44,28,4,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",7,309,240.5016,187.5016,214.0016,53,-33.4984,-48.4984,15,0.0486009869599837,154.5,164,100,32,4,4,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",8,150,245.5016,190.5016,218.0016,55,52.5016,-38.4984,91,0.763144652199071,75,104,72,16,0,4,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",9,508,245.5016,174.5016,210.0016,71,-27.4984,-51.4984,24,0.0472969074285884,254,156,116,28,4,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",10,257,243.5016,186.5016,215.0016,57,-37.4984,-43.4984,6,0.0233526685540621,128.5,88,44,12,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","Yes","28/5/18",11,400,NA,NA,NA,NA,-34.4984,-47.4984,13,0.0325171776716352,200,124,60,24,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",1,397,216.6656,142.6656,179.6656,74,-11.3344,-30.3344,19,0.0479138463362802,198.5,264,188,24,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",2,208,207.6656,141.6656,174.6656,66,-21.3344,-31.3344,10,0.0481325818548256,104,244,176,8,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",3,317,206.6656,145.6656,176.1656,61,-16.3344,-32.3344,16,0.050537600513647,158.5,208,128,16,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",4,190,189.6656,141.6656,165.6656,48,-11.3344,-19.3344,8,0.0421426360827343,95,232,196,4,4,4,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",5,395,210.6656,141.6656,176.1656,69,-8.33440000000001,-30.3344,22,0.0557827907108448,197.5,180,288,88,0,16,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",6,222,218.6656,143.6656,181.1656,75,-13.3344,-25.3344,12,0.0541331961960767,111,240,336,44,0,16,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",7,122,210.6656,147.6656,179.1656,63,-11.3344,-18.3344,7,0.057471729249773,61,344,180,36,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",8,242,216.6656,144.6656,180.6656,72,-10.3344,-24.3344,14,0.0579482906215957,121,224,132,32,4,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",9,158,217.6656,154.6656,186.1656,63,-15.3344,-25.3344,10,0.0634182861789801,79,308,176,4,8,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",10,134,214.6656,148.6656,181.6656,66,-22.3344,-29.3344,7,0.0523102292352963,67,232,284,12,4,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","Yes","31/5/18",11,145,NA,NA,NA,NA,-17.3344,-24.3344,7,0.0483322154582844,72.5,276,236,20,0,0,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",1,875,238.545456,150.545456,194.545456,88,3.54545599999998,-50.454544,54,0.0618321466414835,437.5,640,180,80,12,4,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",2,740,237.545456,142.545456,190.045456,95,-6.45454400000002,-50.454544,44,0.0595648462811996,370,960,352,20,0,4,8
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",3,675,233.545456,144.545456,189.045456,89,-3.45454400000002,-42.454544,39,0.0578744588634975,337.5,608,356,20,8,0,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",4,497,248.545456,139.545456,194.045456,109,-11.454544,-42.454544,31,0.0624959356202201,248.5,796,408,68,16,0,12
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",5,334,246.545456,135.545456,191.045456,111,-16.454544,-32.454544,16,0.0479592519464144,167,656,120,260,8,4,12
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",6,259,243.545456,134.545456,189.045456,109,-16.454544,-31.454544,15,0.0580124309463942,129.5,672,356,184,4,0,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",7,405,244.545456,131.545456,188.045456,113,-5.45454400000002,-26.454544,21,0.0519216975459811,202.5,884,172,32,12,0,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",8,389,241.545456,120.545456,181.045456,121,-3.45454400000002,-24.454544,21,0.0540634127492077,194.5,760,356,316,16,0,8
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",9,291,233.545456,130.545456,182.045456,103,3.54545599999998,-13.454544,17,0.0585191867067236,145.5,832,164,100,8,0,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",10,204,228.545456,120.545456,174.545456,108,5.54545599999998,-6.45454400000002,12,0.058925565098879,102,628,896,NA,8,0,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","Yes","18/6/18",11,380,228.545456,124.545456,176.545456,104,15.545456,-8.45454400000002,24,0.0632842387290044,190,500,656,264,0,16,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",1,1077,220.0176,78.0176,149.0176,142,11.0176,-24.9824,36,0.0334448732076573,538.5,344,144,42,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",2,1337,241.0176,81.0176,161.0176,160,28.0176,-9.9824,38,0.0284333264949288,668.5,292,436,44,0,12,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",3,1263,240.0176,72.0176,156.0176,168,29.0176,-7.9824,37,0.0293079075438322,631.5,412,192,16,4,4,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",4,686,234.0176,76.0176,155.0176,158,12.0176,-8.9824,21,0.0306265985002526,343,396,264,14,4,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",5,506,230.0176,90.0176,160.0176,140,4.0176,-11.9824,16,0.0316363732776152,253,304,296,4,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",6,65,233.0176,85.0176,159.0176,148,25.0176,-20.9824,46,1.00165817951149,32.5,408,332,6,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",7,193,225.0176,79.0176,152.0176,146,-25.9824,-34.9824,9,0.0466829092533676,96.5,340,128,24,0,4,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",8,300,234.0176,77.0176,155.5176,157,-34.9824,-45.9824,11,0.0366913396962422,150,392,288,4,0,4,4
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",9,71,237.0176,77.0176,157.0176,160,-39.9824,-43.9824,4,0.0564276492686879,35.5,404,300,40,0,8,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",10,100,224.0176,75.0176,149.5176,149,-45.9824,-52.9824,7,0.070172132847155,50,404,160,8,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","No","14/7/18",11,203,NA,NA,NA,NA,-38.9824,-51.9824,13,0.0641711284239017,101.5,268,224,10,4,4,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",1,187,261.0256,98.0256,179.5256,163,9.02560000000001,-8.97439999999999,18,0.0967057332604031,93.5,472,272,52,12,8,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",2,273,282.0256,101.0256,191.5256,181,25.0256,8.02560000000001,17,0.0623921483234372,136.5,408,80,8,4,4,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",3,730,263.0256,105.0256,184.0256,158,48.0256,5.02560000000001,43,0.0590065659068621,365,420,140,148,8,0,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",4,NA,273.0256,102.0256,187.5256,171,NA,NA,NA,NA,NA,NA,384,20,4,8,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",5,NA,272.0256,104.0256,188.0256,168,NA,NA,NA,NA,NA,NA,248,92,4,0,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",6,NA,269.0256,105.0256,187.0256,164,NA,NA,NA,NA,NA,NA,340,160,12,12,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",7,NA,284.0256,110.0256,197.0256,174,NA,NA,NA,NA,NA,NA,224,112,8,0,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",8,NA,283.0256,117.0256,200.0256,166,NA,NA,NA,NA,NA,NA,408,236,4,8,4
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",9,NA,278.0256,126.0256,202.0256,152,NA,NA,NA,NA,NA,NA,292,128,0,16,8
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",10,NA,255.0256,89.0256,172.0256,166,NA,NA,NA,NA,NA,NA,220,92,0,12,4
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","No","27/6/18",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,16,12,8,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",1,143,NA,NA,NA,NA,-21.3125818,-27.3125818,6,0.0419950238844871,71.5,368,0,24,0,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",2,110,217.6874182,133.6874182,175.6874182,84,-24.3125818,-31.3125818,7,0.0637656067934896,55,456,120,132,4,0,0
