site,tissue,leaf,rhizome,so_duration,pop_dens_surv_km2,dens_otter1,dens_otter2,n_pits,prop_otter_shells,sea_otter_index,so_region1,so_region2,sed1,sed2,time1,time2,time3,date_MM.DD.YY
Big Clam Bay,,,,7,0.154,0.154202005,0,4,0.179487179,-0.775882594,low,low,sugar,sand,1,1,1,07/13/18
Big Tree Bay,blades,5.162198,3.207936,14,1.341,5.07154501,6.593008513,14,0.194174757,0.394133165,mid,high,sugar,sand,1,2,1,7/11/18
Blanquizal,blades,7.025676,5.56257,14,2.877,3.567141142,4.801920768,47,0.461538462,0.625943513,high,high,sand,sand,1,3,2,06/18/18
Chusini,blades,4.46407,3.277614,14,2.877,7.398568019,3.739061257,133,0.330357143,0.758251085,high,high,mud,mud,1,4,2,06/13/18
Dunbar,blades,5.059358,3.761614,7,0.154,0.63559322,2.966101695,23,0.1,-0.407592175,low,low,sand,sand,1,5,2,8/11/18
Garcia Cove,blades,3.98227,2.726816,14,2.877,4.673129505,3.778274919,278,0.608465608,0.684596466,high,high,sand,sand,2,6,3,7/12/18
Goat Mouth Inlet,blades,6.27467,5.300176,7,0.154,0,0,52,0.676470588,-0.757400458,low,low,sand,sand,2,7,3,06/14/18
Guktu,blades,6.396394,2.087774,14,2.877,5.642256903,15.72629052,94,0.282178218,0.921002611,high,high,mud,mud,2,8,3,05/31/18
Hauti,blades,4.100714,2.08654,14,2.877,1.673640167,2.466417089,134,0.482758621,0.443800533,high,high,sand,sand,2,8,3,05/29/18
Kaguk,blades,4.188306,1.725622,14,2.877,5.337286879,16.01186064,27,0.474576271,0.873744418,high,high,mud,mud,2,9,3,05/30/18
Kinani,,,,14,2.877,8.741594621,8.741594621,67,0.197183099,0.904244449,high,high,mud,mud,2,9,3,07/14/18
Mushroom,blades,6.45595,3.960902,7,0.154,0,0,34,0.684210526,-0.7691888,low,low,mud,mud,2,10,4,06/16/18
N Fish Egg,,,,14,1.341,0.064557779,0.193673338,12,0.315789474,-0.328766789,mid,low,sugar,sand,2,10,4,06/28/18
Natzuhini 1,blades,2.493232,1.822152,7,0.154,0,0,46,0.586206897,-0.758031153,low,low,sand,sand,2,11,4,06/15/18
Natzuhini 2,blades,4.489424,3.559322,7,0.154,0,0,50,0.888888889,-0.766148369,low,low,sand,sand,2,12,4,06/16/18
North Pass,blades,5.380516,3.699184,7,0.154,0,0,41,0.769230769,-0.766883656,low,low,mud,mud,3,13,5,06/15/18
Nossuk 1,blades,9.261378,3.42408,14,2.877,1.718078875,5.154236626,98,0.53030303,0.538982106,high,high,sand,sand,3,14,5,7/10/18
Nossuk 2,,,,14,2.877,1.748486886,4.572965703,80,0.112781955,0.532027077,high,high,mud,mud,3,15,5,06/30/18
Port Caldera,blades,8.887456,6.056598,7,1.341,0,0,4,0.101694915,-0.558159348,low,low,sand,sand,3,16,5,7/10/18
Port Refugio,,,,7,0.154,0,0,4,0,-0.795146795,low,low,sand,sand,4,17,6,8/10/18
S Fish Egg,,3.235216,4.586484,14,1.341,0.988773303,0.659182202,95,0.265100671,-0.074125817,mid,low,sugar,sand,4,18,6,06/25/18
S Wadleigh,,,,14,1.341,0.339805825,0.388349515,28,0.485294118,-0.23355309,mid,low,mud,mud,4,19,6,6/12/18
Salt Lake Bay,blades,9.879288,6.17704,14,2.877,5.044035228,8.246597278,165,0.5,0.804169184,high,high,sand,sand,4,20,6,7/10/18
Shinaku,blades,2.347456,2.061428,14,1.341,3.52889281,9.704455227,35,0.317460317,0.409855907,mid,high,mud,mud,4,21,6,06/17/18
Soda Bay,blades,2.20968,2.50027,7,0.154,5.147058824,1.890756303,24,0.151785714,-0.169891522,low,low,sand,sand,5,22,7,06/27/18
Sukkwan Narrows,blades,4.49678,2.679128,7,0.154,0.072059088,0,69,0.535714286,-0.729979947,low,low,sand,sand,5,23,7,06/14/18
