site,longitude,latitude,date1_MM/DD/YY,date2_MM/DD/YY
Big Tree Bay,-133.215512,55.585855,07/19/18,08/01/18
Blanquizal Bay,-133.387067,55.621174,06/25/18,08/05/18
Chusini,-133.167403,55.813558,06/07/18,07/27/18
Garcia Cove,-133.430032,55.552181,05/23/18,07/25/18
Guktu Cove,-133.311306,55.740264,06/06/18,07/31/18
Hauti Island,-133.156399,55.865721,06/06/18,07/31/18
Kaguk Cove,-133.29047,55.733423,06/06/18,07/31/18
Kinani,-133.250006,55.889904,06/07/18,08/05/18
Nossuk Bay 1,-133.358474,55.714689,05/05/18,08/05/18
Nossuk Bay 2,-133.325372,55.722637,05/05/18,08/05/18
Salt Lake Bay,-133.377377,55.684275,05/07/18,07/12/18
Shinaku Inlet,-133.160431,55.599083,07/15/18,08/01/18
S Fish Egg Island,-133.174447,55.485687,07/09/18,08/08/18
Big Clam Bay,-132.973932,55.227691,07/18/18,07/26/18
Dunbar Inlet,-132.826,55.0848,07/24/18,08/10/18
Goat Mouth Inlet,-132.9,55.19286,06/12/18,07/26/18
Mushroom Island,-132.846741,55.214375,06/12/18,07/26/18
Natzuhini Bay 1,-132.879147,55.247539,06/12/18,07/26/18
Natzuhini Bay 2,-132.837131,55.241887,06/12/18,07/26/18
N Fish Egg Island,-133.170812,55.496472,07/09/18,08/08/18
North Pass,-132.910143,55.228252,06/12/18,07/26/18
Port Caldera,-133.161232,55.36209,07/09/18,07/26/18
Port Refugio,-133.334028,55.282137,07/24/18,08/14/18
S Wadleigh Island,-133.147345,55.528424,06/11/18,08/03/18
Soda Bay,-132.994318,55.264232,07/18/18,07/29/18
Sukkwan Narrows,-132.842514,55.188785,06/12/18,07/26/18
